date,tmax_f,tmin_f,precip_in,precip_trace,cli_station,source_url,city,source,archive_version
2025-04-01,87.08,64.94,,,,,San Antonio,cdo,
2025-04-02,87.98,73.94,,,,,San Antonio,cdo,
2025-04-03,93.02,73.94,,,,,San Antonio,cdo,
2025-04-04,91.04,71.06,,,,,San Antonio,cdo,
2025-04-05,75.92,51.08,,,,,San Antonio,cdo,
2025-04-06,60.98,44.96,,,,,San Antonio,cdo,
2025-04-07,73.94,39.02,,,,,San Antonio,cdo,
2025-04-08,78.98,44.06,,,,,San Antonio,cdo,
2025-04-09,87.08,55.94,,,,,San Antonio,cdo,
2025-04-10,91.04,55.94,,,,,San Antonio,cdo,
2025-04-11,89.96,60.08,,,,,San Antonio,cdo,
2025-04-12,91.04,60.98,,,,,San Antonio,cdo,
2025-04-13,91.94,62.06,,,,,San Antonio,cdo,
2025-04-14,91.94,64.94,,,,,San Antonio,cdo,
2025-04-15,82.04,66.92,,,,,San Antonio,cdo,
2025-04-16,84.92,64.94,,,,,San Antonio,cdo,
2025-04-17,89.06,66.92,,,,,San Antonio,cdo,
2025-04-18,91.94,66.92,,,,,San Antonio,cdo,
2025-04-19,82.94,69.08,,,,,San Antonio,cdo,
2025-04-20,84.02,62.06,,,,,San Antonio,cdo,
2025-04-21,87.08,59.0,,,,,San Antonio,cdo,
2025-04-22,87.08,69.08,,,,,San Antonio,cdo,
2025-04-23,80.96,64.94,,,,,San Antonio,cdo,
2025-04-24,84.02,71.06,,,,,San Antonio,cdo,
2025-04-25,86.0,69.98,,,,,San Antonio,cdo,
2025-04-26,84.02,69.08,,,,,San Antonio,cdo,
2025-04-27,86.0,71.06,,,,,San Antonio,cdo,
2025-04-28,86.0,73.04,,,,,San Antonio,cdo,
2025-04-29,87.98,71.96,,,,,San Antonio,cdo,
2025-04-30,89.96,73.04,,,,,San Antonio,cdo,
2025-05-01,89.96,73.04,,,,,San Antonio,cdo,
2025-05-02,87.08,64.94,,,,,San Antonio,cdo,
2025-05-03,82.94,62.96,,,,,San Antonio,cdo,
2025-05-04,82.94,57.02,,,,,San Antonio,cdo,
2025-05-05,80.96,64.94,,,,,San Antonio,cdo,
2025-05-06,89.96,66.02,,,,,San Antonio,cdo,
2025-05-07,87.08,64.94,,,,,San Antonio,cdo,
2025-05-08,87.08,66.02,,,,,San Antonio,cdo,
2025-05-09,84.92,64.04,,,,,San Antonio,cdo,
2025-05-10,84.92,60.98,,,,,San Antonio,cdo,
2025-05-11,86.0,60.08,,,,,San Antonio,cdo,
2025-05-12,93.92,55.94,,,,,San Antonio,cdo,
2025-05-13,102.92,66.02,,,,,San Antonio,cdo,
2025-05-14,102.02,71.96,,,,,San Antonio,cdo,
2025-05-15,98.06,69.98,,,,,San Antonio,cdo,
2025-05-16,98.96,77.0,,,,,San Antonio,cdo,
2025-05-17,98.96,78.98,,,,,San Antonio,cdo,
2025-05-18,96.98,77.0,,,,,San Antonio,cdo,
2025-05-19,91.94,78.08,,,,,San Antonio,cdo,
2025-05-20,100.04,78.08,,,,,San Antonio,cdo,
2025-05-21,96.98,73.04,,,,,San Antonio,cdo,
2025-05-22,98.96,77.0,,,,,San Antonio,cdo,
2025-05-23,95.0,68.0,,,,,San Antonio,cdo,
2025-05-24,98.96,77.0,,,,,San Antonio,cdo,
2025-05-25,98.06,78.08,,,,,San Antonio,cdo,
2025-05-26,95.0,68.0,,,,,San Antonio,cdo,
2025-05-27,87.98,66.92,,,,,San Antonio,cdo,
2025-05-28,86.0,66.02,,,,,San Antonio,cdo,
2025-05-29,89.06,71.96,,,,,San Antonio,cdo,
2025-05-30,84.92,69.08,,,,,San Antonio,cdo,
2025-05-31,87.08,71.06,,,,,San Antonio,cdo,
2025-06-01,93.92,71.96,,,,,San Antonio,cdo,
2025-06-02,93.02,73.04,,,,,San Antonio,cdo,
2025-06-03,93.02,77.0,,,,,San Antonio,cdo,
2025-06-04,91.94,78.98,,,,,San Antonio,cdo,
2025-06-05,93.92,78.08,,,,,San Antonio,cdo,
2025-06-06,95.0,77.0,,,,,San Antonio,cdo,
2025-06-07,96.08,78.08,,,,,San Antonio,cdo,
2025-06-08,96.08,78.08,,,,,San Antonio,cdo,
2025-06-09,98.06,77.0,,,,,San Antonio,cdo,
2025-06-10,93.92,73.94,,,,,San Antonio,cdo,
2025-06-11,87.98,69.98,,,,,San Antonio,cdo,
2025-06-12,78.98,69.08,,,,,San Antonio,cdo,
2025-06-13,91.94,68.0,,,,,San Antonio,cdo,
2025-06-14,91.94,78.98,,,,,San Antonio,cdo,
2025-06-15,93.92,71.96,,,,,San Antonio,cdo,
2025-06-16,91.04,69.98,,,,,San Antonio,cdo,
2025-06-17,93.02,73.04,,,,,San Antonio,cdo,
2025-06-18,91.94,75.02,,,,,San Antonio,cdo,
2025-06-19,93.02,77.0,,,,,San Antonio,cdo,
2025-06-20,93.02,78.08,,,,,San Antonio,cdo,
2025-06-21,91.04,75.02,,,,,San Antonio,cdo,
2025-06-22,93.02,77.0,,,,,San Antonio,cdo,
2025-06-23,93.02,77.0,,,,,San Antonio,cdo,
2025-06-24,93.92,73.94,,,,,San Antonio,cdo,
2025-06-25,93.92,75.02,,,,,San Antonio,cdo,
2025-06-26,93.92,75.92,,,,,San Antonio,cdo,
2025-06-27,93.92,77.0,,,,,San Antonio,cdo,
2025-06-28,93.92,77.0,,,,,San Antonio,cdo,
2025-06-29,93.92,73.94,,,,,San Antonio,cdo,
2025-06-30,93.02,73.94,,,,,San Antonio,cdo,
2025-07-01,89.06,73.04,,,,,San Antonio,cdo,
2025-07-02,89.06,75.02,,,,,San Antonio,cdo,
